day,value
2013-01-02,23.0
2013-01-03,28.0
2013-01-04,23.0
2013-01-05,24.0
2013-01-06,23.0
2013-01-07,21.0
2013-01-08,30.0
2013-01-09,35.0
2013-01-10,30.0
2013-01-11,20.0
2013-01-12,23.0
2013-01-13,13.0
2013-01-14,14.0
2013-01-15,12.0
2013-01-16,17.0
2013-01-17,12.0
2013-01-18,14.0
2013-01-19,20.0
2013-01-20,9.0
2013-01-21,10.0
2013-01-22,9.0
2013-01-23,8.0
2013-01-24,10.0
2013-01-25,11.0
2013-01-26,11.0
2013-01-27,14.0
2013-01-28,11.0
2013-01-29,17.0
2013-01-30,25.0
2013-01-31,21.0
2013-02-01,19.0
2013-02-02,10.0
2013-02-03,10.0
2013-02-04,14.0
2013-02-05,17.0
2013-02-06,11.0
2013-02-07,11.0
2013-02-08,NA
2013-02-09,20.0
2013-02-10,16.0
2013-02-11,13.0
2013-02-12,NA
2013-02-13,NA
2013-02-14,20.0
2013-02-15,13.0
2013-02-16,10.0
2013-02-17,9.0
2013-02-18,14.0
2013-02-19,9.0
2013-02-20,17.0
2013-02-21,25.0
2013-02-22,17.0
2013-02-23,16.0
2013-02-24,16.0
2013-02-25,20.0
2013-02-26,20.0
2013-02-27,21.0
2013-02-28,11.0
2013-03-01,12.0
2013-03-02,23.0
2013-03-03,27.0
2013-03-04,19.0
2013-03-05,14.0
2013-03-06,19.0
2013-03-07,18.0
2013-03-08,12.0
2013-03-09,11.0
2013-03-10,10.0
2013-03-11,10.0
2013-03-12,11.0
2013-03-13,13.0
2013-03-14,13.0
2013-03-15,13.0
2013-03-16,16.0
2013-03-17,11.0
2013-03-18,12.0
2013-03-19,14.0
2013-03-20,16.0
2013-03-21,18.0
2013-03-22,19.0
2013-03-23,18.0
2013-03-24,18.0
2013-03-25,12.0
2013-03-26,9.0
2013-03-27,10.0
2013-03-28,18.0
2013-03-29,16.0
2013-03-30,13.0
2013-03-31,10.0
2013-04-01,11.0
2013-04-02,12.0
2013-04-03,15.0
2013-04-04,14.0
2013-04-05,16.0
2013-04-06,12.0
2013-04-07,16.0
2013-04-08,16.0
2013-04-09,17.0
2013-04-10,12.0
2013-04-11,19.0
2013-04-12,15.0
2013-04-13,11.0
2013-04-14,14.0
2013-04-15,14.0
2013-04-16,14.0
2013-04-17,20.0
2013-04-18,15.0
2013-04-19,19.0
2013-04-20,19.0
2013-04-21,12.0
2013-04-22,16.0
2013-04-23,17.0
2013-04-24,24.0
2013-04-25,21.0
2013-04-26,21.0
2013-04-27,9.0
2013-04-28,10.0
2013-04-29,11.0
2013-04-30,17.0
2013-05-01,16.0
2013-05-02,13.0
2013-05-03,15.0
2013-05-04,16.0
2013-05-05,15.0
2013-05-06,24.0
2013-05-07,24.0
2013-05-08,20.0
2013-05-09,13.0
