,PM10 (µg/m³),PM2.5 (µg/m³),As (ng/m³),Ni (ng/m³),Cd (ng/m³),Pb (ng/m³),C6H6 (µg/m³),B(a)p (ng/m³),Dades pendents de validació
02/01/2013,32,23,1,2,0.4,10,2.5,0.6,
03/01/2013,41,28,1,4.1,0.4,10,3.4,0.7,
04/01/2013,32,23,1,2,0.4,10,2.4,0.3,
05/01/2013,31,24,1,2,0.4,10,Sense dades,0.2,
06/01/2013,32,23,1,2.2,0.4,10,Sense dades,0.4,
07/01/2013,34,21,1,2.2,0.4,10,2.9,0.4,
08/01/2013,46,30,1,7.5,0.6,20,3.8,1,
09/01/2013,47,35,1,4.4,0.4,20,2.3,1,
10/01/2013,47,30,1,3.7,0.6,20,Sense dades,0.6,
11/01/2013,39,20,1,3.7,0.4,10,Sense dades,0.6,
12/01/2013,42,23,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/01/2013,23,13,Sense dades,Sense dades,Sense dades,Sense dades,2.6,Sense dades,
14/01/2013,24,14,Sense dades,Sense dades,Sense dades,Sense dades,1.7,Sense dades,
15/01/2013,18,12,1,2,0.4,10,1.6,0.1,
16/01/2013,Sense dades,17,Sense dades,Sense dades,Sense dades,Sense dades,1.6,Sense dades,
17/01/2013,27,12,1,2.7,0.4,10,2.3,0.2,
18/01/2013,36,14,1,4.8,0.4,10,Sense dades,0.6,
19/01/2013,Sense dades,20,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
20/01/2013,14,9,1,2,0.4,10,Sense dades,0.1,
21/01/2013,Sense dades,10,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
22/01/2013,Sense dades,9,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
23/01/2013,11,8,1,2,0.4,10,Sense dades,0.1,
24/01/2013,15,10,1,2,0.4,10,Sense dades,0.2,
25/01/2013,14,11,1,2,0.4,10,Sense dades,0.1,
26/01/2013,16,11,1,2.4,0.4,10,Sense dades,0.1,
27/01/2013,23,14,1,2,0.4,10,Sense dades,0.2,
28/01/2013,18,11,1,2,0.4,10,Sense dades,0.1,
29/01/2013,30,17,1,3.5,0.4,10,Sense dades,0.2,
30/01/2013,41,25,1,6.9,0.4,10,3,0.4,
31/01/2013,36,21,1,4.7,0.4,10,Sense dades,0.4,
01/02/2013,30,19,1,4.3,0.4,10,Sense dades,0.2,
02/02/2013,12,10,1,2,0.4,10,Sense dades,0,
03/02/2013,13,10,1,2,0.4,10,Sense dades,0,
04/02/2013,24,14,1,2.6,0.4,10,Sense dades,0.3,
05/02/2013,28,17,1,5.3,0.4,10,Sense dades,0.3,
06/02/2013,16,11,1,2,0.4,20,Sense dades,0.1,
07/02/2013,16,11,1,2,0.4,10,Sense dades,0.1,
08/02/2013,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
09/02/2013,38,20,1,2.8,0.4,10,Sense dades,0.4,
10/02/2013,22,16,1,2,0.4,10,Sense dades,0.3,
11/02/2013,16,13,1,2,0.4,10,Sense dades,0.1,
12/02/2013,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
13/02/2013,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,Sense dades,
14/02/2013,33,20,1,4.4,0.4,10,Sense dades,0.1,
15/02/2013,24,13,1,4.2,0.4,10,Sense dades,0,
16/02/2013,22,10,1,3.3,0.4,10,Sense dades,0,
17/02/2013,17,9,1,2,0.4,10,Sense dades,0.2,
18/02/2013,25,14,1,2.1,0.4,10,Sense dades,0.3,
19/02/2013,17,9,1,2,0.4,10,Sense dades,0.1,
20/02/2013,30,17,1,4.1,0.6,10,Sense dades,0.2,
21/02/2013,42,25,1,4.2,0.4,30,Sense dades,0.2,
22/02/2013,23,17,1,2,0.4,10,Sense dades,0.1,
23/02/2013,20,16,1,2,0.4,10,Sense dades,0.1,
24/02/2013,20,16,1,2,0.4,10,Sense dades,0.1,
25/02/2013,28,20,1,2.6,0.4,10,Sense dades,0.3,
26/02/2013,28,20,1,2.5,0.4,10,Sense dades,0.2,
27/02/2013,32,21,1,3.1,0.4,10,Sense dades,0.2,
28/02/2013,21,11,1,2,0.4,10,Sense dades,0.2,
01/03/2013,22,12,1,2,0.4,10,Sense dades,0.4,
02/03/2013,39,23,1,2.8,0.4,10,Sense dades,0,
03/03/2013,43,27,1,2.7,0.4,10,Sense dades,0.2,
04/03/2013,38,19,1,5.9,0.4,10,1.8,0.2,
05/03/2013,39,14,1,2,0.4,10,Sense dades,0,
06/03/2013,47,19,1,3.6,0.4,10,Sense dades,0.2,
07/03/2013,30,18,1,3.1,0.4,10,1.6,0.3,
08/03/2013,17,12,1,2.3,0.4,10,1.5,0.1,
09/03/2013,15,11,1,2,0.4,10,Sense dades,0.1,
10/03/2013,15,10,1,2,0.5,10,Sense dades,0.1,
11/03/2013,15,10,1,2,0.4,10,1.3,0.1,
12/03/2013,22,11,1,2,0.4,20,1.3,0.1,
13/03/2013,16,13,1,2,0.4,10,1.7,0.2,
14/03/2013,15,13,1,2,0.4,10,1.2,0.1,
15/03/2013,20,13,1,2,0.4,10,1.7,0.2,
16/03/2013,27,16,1,2.9,0.4,10,Sense dades,0.1,
17/03/2013,24,11,1,4.2,0.4,10,Sense dades,0.1,
18/03/2013,16,12,1,2,0.4,10,1.2,0.1,
19/03/2013,25,14,1,2.8,0.4,10,1.1,0.1,
20/03/2013,25,16,1,3,0.4,10,1.4,0.1,
21/03/2013,33,18,1,4.9,0.7,20,1.5,0.1,
22/03/2013,34,19,1,6.9,0.4,10,1.6,0.1,
23/03/2013,36,18,1,4.8,0.4,10,Sense dades,0.1,
24/03/2013,35,18,1,4.2,0.4,10,Sense dades,0,
25/03/2013,22,12,1,2.2,0.4,10,1.1,0,
26/03/2013,18,9,1,2,0.4,10,0.9,0,
27/03/2013,18,10,1,2,0.4,10,0.9,0,
28/03/2013,26,18,1,4.4,0.4,20,1.4,0,
29/03/2013,21,16,1,2.2,0.4,10,Sense dades,0,
30/03/2013,18,13,1,2,0.4,10,Sense dades,0,
31/03/2013,16,10,1,2,0.4,10,Sense dades,0,
01/04/2013,17,11,1,2,0.4,10,Sense dades,0,
02/04/2013,19,12,1,2,0.4,10,1.1,0,
03/04/2013,24,15,1,2,0.4,10,1.1,0.1,
04/04/2013,28,14,1,2.5,0.4,10,1,0,
05/04/2013,21,16,1,2,0.4,10,1.4,0.1,
06/04/2013,16,12,1,2,0.4,10,Sense dades,0,
07/04/2013,23,16,1,2,0.4,10,Sense dades,0,
08/04/2013,27,16,1,2.7,0.4,20,1.6,0.1,
09/04/2013,32,17,1,2.4,0.4,10,1.4,0.1,
10/04/2013,25,12,1,3,0.4,10,1.2,0,
11/04/2013,33,19,1,5.9,0.4,10,1.4,0.1,
12/04/2013,30,15,1,4.1,0.4,10,1.3,0.1,
13/04/2013,20,11,1,5.7,0.4,10,Sense dades,0,
14/04/2013,23,14,1,6.6,0.4,10,Sense dades,0,
15/04/2013,26,14,1,7.3,0.4,10,1.5,0.1,
16/04/2013,28,14,1,7,0.4,10,1.4,0.1,
17/04/2013,38,20,1,15.3,0.4,10,1.8,0.1,
18/04/2013,29,15,1,8.8,0.4,10,1,0.1,
19/04/2013,34,19,1,6.4,0.4,10,1.1,0.1,
20/04/2013,29,19,1,3.3,0.4,10,Sense dades,0,
21/04/2013,21,12,1,2,0.4,10,Sense dades,0,
22/04/2013,28,16,1,5,0.4,10,1.1,0,
23/04/2013,26,17,1,3.8,0.4,10,1,0,
24/04/2013,33,24,1,2.6,0.4,10,0.8,0,
25/04/2013,26,21,1,2.1,0.4,10,0.8,0,
26/04/2013,27,21,1,2.4,0.4,10,0.9,0,
27/04/2013,11,9,1,2,0.4,10,Sense dades,0,
28/04/2013,10,10,1,2,0.4,10,Sense dades,0.1,
29/04/2013,16,11,1,2,0.4,10,1,0.1,
30/04/2013,19,17,1,2.4,0.4,10,1.4,0,
01/05/2013,20,16,1,5,0.4,10,Sense dades,0,
02/05/2013,23,13,1,3.8,0.4,10,1,0,
03/05/2013,22,15,1,4.1,0.4,10,1.5,0,
04/05/2013,24,16,1,4.3,0.4,10,Sense dades,0,
05/05/2013,22,15,1,8.5,0.4,10,Sense dades,0,
06/05/2013,34,24,1,9.4,0.4,10,1.7,0.1,
07/05/2013,34,24,1,10,0.4,10,1.5,0,
08/05/2013,34,20,1,10.1,0.4,10,1,0,
09/05/2013,20,13,1,8.1,0.4,10,0.9,0,
10/05/2013,24,10,1,4.9,0.4,10,0.8,0,
11/05/2013,22,11,1,3.9,0.4,10,Sense dades,0,
12/05/2013,23,11,1,2,0.4,10,Sense dades,0,
13/05/2013,27,15,1,4.1,0.4,10,1.1,0.1,
14/05/2013,31,17,1,7.3,0.4,10,1.5,0,
15/05/2013,21,18,1,2.3,0.4,10,0.8,0,
16/05/2013,13,11,1,2,0.4,10,1.2,0,
17/05/2013,22,10,1,4,0.4,60,1.1,0,
18/05/2013,16,11,1,2,0.4,10,Sense dades,0,
19/05/2013,10,Sense dades,1,2,0.4,10,Sense dades,0,
20/05/2013,13,9,1,2,0.4,10,Sense dades,0,
21/05/2013,17,11,1,3.3,0.4,10,0.7,0,
22/05/2013,17,9,1,3,0.4,10,Sense dades,0,
23/05/2013,21,11,1,2.2,0.4,10,1.1,0,
24/05/2013,25,10,1,2,0.4,10,0.9,0,
25/05/2013,18,8,1,2,0.4,10,Sense dades,0,
26/05/2013,17,8,1,2,0.4,10,Sense dades,0,
27/05/2013,20,8,1,2.9,0.4,10,1.1,0,
28/05/2013,21,10,1,3.2,0.4,10,Sense dades,0,
29/05/2013,20,13,1,2,0.4,10,0.8,0,
30/05/2013,16,10,1,2.1,0.4,10,1.1,0,
31/05/2013,18,11,1,3.4,0.4,10,1.1,0,
01/06/2013,20,15,1,2.6,0.4,10,Sense dades,0,
02/06/2013,17,12,1,5.2,0.4,10,Sense dades,0,
03/06/2013,21,13,1,4.3,0.4,10,0.8,0.1,
04/06/2013,28,8,1,8.2,0.4,10,1.1,0,
05/06/2013,27,15,1,9,0.4,10,1.1,0,
06/06/2013,26,15,1,5.9,0.4,10,0.9,0,
07/06/2013,31,17,1,9.6,0.4,10,1,0,
08/06/2013,17,Sense dades,1,2.6,0.4,10,Sense dades,0,
09/06/2013,20,11,1,2,0.4,10,Sense dades,0,
10/06/2013,17,12,1,4.3,0.4,10,Sense dades,0,
11/06/2013,26,16,1,7.2,0.4,10,1,0,
12/06/2013,28,18,1,8.9,0.4,10,1.1,0,
13/06/2013,33,21,1,13,0.4,10,1.3,0.1,
14/06/2013,26,15,1,7.3,0.4,10,1.6,0,
15/06/2013,25,16,1,4.1,0.4,10,Sense dades,0,
16/06/2013,24,15,1,2.7,0.4,10,Sense dades,0,
17/06/2013,33,16,1,8.4,0.4,10,0.8,0,
18/06/2013,43,15,1,3.4,0.4,10,Sense dades,0,
19/06/2013,26,15,1,3.6,0.4,10,0.8,0,
20/06/2013,22,14,1,2.9,0.4,10,1.2,0.2,
21/06/2013,21,12,1,5,0.4,10,1,0,
22/06/2013,21,13,1,4.6,0.4,10,Sense dades,0,
23/06/2013,29,18,1,4.8,0.4,10,Sense dades,0,
24/06/2013,31,17,1,2.5,0.4,30,Sense dades,0,
25/06/2013,30,13,1,3.8,0.4,20,0.9,0,
26/06/2013,27,14,1,4.7,0.4,10,0.3,0,
27/06/2013,27,14,1,4.2,0.4,10,1.1,0,
28/06/2013,31,19,1,5.4,0.4,10,1.4,0,
